!! 对某些api来说,city也可能是枚举类型
!! date date1 参数有待考虑
!! <omit>/<unk> 表示可选参数为空，注意哪些为可选参数。(lottery_p)
!! 特殊api: 700(训练月份和天数，传递日期) 204(训练日期，传递格式化日期，真实传递今天日期) 503(训练格式化日期，传递格式化日期) 101(POST请求)
!!
!! params: from_lan(enum) to_lan(enum) text(string) province(string{省}[浙江/安徽]) city(string{城市}[杭州/北京]) mobile(string{手机号码}[13456755448]) star(enum) date1(string{见api描述}[明天/后天]) recipe(string{菜谱}[宫保鸡丁]) disease(string{疾病,关键字}[感冒]) company(string{公司名}[上海阿里巴巴影业有限公司]) express_com(enum) express_no spot(string{景点}[五龙潭/趵突泉]) id(string{身份证}[445281199411054350]) ip(string{ipv4地址}[112.64.217.75]) apple_sn(string{苹果手机IEME/序列号}[353335079865302]) keyword_1(string{单个字词，用于查询成语}[叶]) isbn(string{书的isbn号码}[9787212058937]) word({汉字,查字典}[我/好/你]}) keyword_2(string{搜索脑筋急转弯的词，一般是名词}[女人/花生]) amout({换算的数量}[10/1000]) from_unit(string{单位}) to_unit(string{单位}) words({词语}[好像/喜欢]) bus_no(string{公交地铁车次}[86/197]) bus_station(string{公交地铁车站}[上宁桥/西溪竞舟苑]) address1(string{搜索公交地址,市内}[西溪花园紫菱苑]) address(string{地理编码地址}[方恒国际中心A座/北京市朝阳区阜通东大街6号]) train_no(string{火车车次}[G34/D256/K1158]) start_station(string{火车站}[杭州东/北京南]) end_station(string{火车站}[杭州东/北京南]) date(string{查询火车余票日期}[2015-10-20]) money({钱的数量,用于汇率转换}[100,1]) from_currency(enum{货币代码}[CNY/USD]) to_currency(enum{货币代码}[CNY/USD]) bank(enum{十大银行}[工商银行：ICBC/中国银行：BOC]) lottery(enum{彩票类型,比如双色球/体彩}[ssq]) lottery_p(string{第几期彩票,无则表示查询最新一期}[2015022]) month({月份,2个字符}[02/10]) day({几号}[01/31])
!!
id, desc, default_params, mock_params, add_params, alt_params, resp_type, req_method, req_body, req_url, aliyun_url, appcode, remarks
209, "旅游景点信息查询-0", "spot=spot", "spot=%E4%BA%94%E9%BE%99%E6%BD%AD", "page=1", "spot={}&page=1", JSON, GET, None, "http://scenicspot.market.alicloudapi.com/lianzhuo/scenicspot", "https://market.aliyun.com/products/57126001/cmapi022105.html", None, "spot(string{景点}[五龙潭/趵突泉])"
210, "旅游景点信息查询-1", "city=city", "city=%E6%B5%8E%E5%8D%97", "page=1", "city={}&page=1", JSON, GET, None, "http://scenicspot.market.alicloudapi.com/lianzhuo/scenicspot", "https://market.aliyun.com/products/57126001/cmapi022105.html", None, "city(string{城市}[杭州/北京])"
211, "旅游景点信息查询-2", "province=province", "province=%E5%B1%B1%E4%B8%9C", "page=1", "province={}&page=1", JSON, GET, None, "http://scenicspot.market.alicloudapi.com/lianzhuo/scenicspot", "https://market.aliyun.com/products/57126001/cmapi022105.html", None, "province(string{省}[浙江/安徽])"
212, "身份证号码查询", "number=id", "number=445281199411054350", None, "number={}", JSON, GET, None, "http(s)://api10.aliyun.venuscn.com/id-card/query", "https://market.aliyun.com/products/57126001/cmapi025189.html", None, "id(string{身份证}[445281199411054350])"
213, "餐饮美食", "city=city", "city=%E5%8C%97%E4%BA%AC&dtype=json&page=1&pagesize=30", "dtype=json&page=1&pagesize=30", "city={}&dtype=json&page=1&pagesize=30", JSON, GET, None, "http://catering-ali.juheapi.com/catering/querybycity", "https://market.aliyun.com/products/57126001/cmapi013642.html", None, "city(string{城市}[杭州/北京])"
214, "全球IP地址查询", "ip=ip", "ip=112.64.217.75", None, "ip={}", JSON, GET, None, "http://freeapi.market.alicloudapi.com/ip", "https://market.aliyun.com/products/57126001/cmapi019146.html", None, "ip(string{ipv4地址}[112.64.217.75])"
215, "苹果保修查询", "sn=apple_sn", "sn=353335079865302", None, "sn={}", JSON, GET, None, "http(s)://coverage.market.alicloudapi.com/apple/coverage", "https://market.aliyun.com/products/57126001/cmapi019674.html", None, "apple_sn(string{苹果手机IEME/序列号}[353335079865302])"
216, "成语大全-查询", "chengyu=idiom", "chengyu=%E5%8F%B6%E5%85%AC%E5%A5%BD%E9%BE%99", None, "chengyu={}", JSON, GET, None, "http://jisucydq.market.alicloudapi.com/chengyu/detail", "https://market.aliyun.com/products/57126001/cmapi011255.html", None, "idiom(string[叶公好龙])"
217, "成语大全-搜索", "keyword=keyword_1", "keyword=%E5%8F%B6", None, "keyword={}", JSON, GET, None, "http://jisucydq.market.alicloudapi.com/chengyu/search", "https://market.aliyun.com/products/57126001/cmapi011255.html", None, "keyword_1(string{单个字词，用于查询成语}[叶])"
218, "ISBN书号查询", "isbn=isbn", "isbn=9787212058937", None, "isbn={}", JSON, GET, None, "http://aliapi63.jisuapi.com/isbn/query", "https://market.aliyun.com/products/57126001/cmapi013556.html", None, "isbn(string{书的isbn号码}[9787212058937])"
300, "邮编查询-邮编查地址", "zipcode=zipcode", "zipcode=310012", None, "zipcode={}", JSON, GET, None, "http://jisuybcx.market.alicloudapi.com/zipcode/query", "https://market.aliyun.com/products/57002003/cmapi011239.html", None, "zipcode(string{邮编}[310012])"
301, "新华字典", "word=word", "word=%E5%A5%BD", None, "word={}", JSON, GET, None, "http://jisuzidian.market.alicloudapi.com/zidian/word", "https://market.aliyun.com/products/57002003/cmapi011218.html", None, "word({汉字,查字典}[我/好/你]})"
302, "笑话大全-查询文字笑话", None, "pagenum=1&pagesize=1&sort=rand", "pagenum=1&pagesize=1&sort=rand", "pagenum=1&pagesize=1&sort=rand", JSON, GET, None, "http://jisuxhdq.market.alicloudapi.com/xiaohua/text", "https://market.aliyun.com/products/57002003/cmapi011258.html", None, "随机获取一个文字笑话"
303, "笑话大全-查询图片笑话", None, "pagenum=1&pagesize=1&sort=rand", "pagenum=1&pagesize=1&sort=rand", "pagenum=1&pagesize=1&sort=rand", JSON, GET, None, "http://jisuxhdq.market.alicloudapi.com/xiaohua/pic", "https://market.aliyun.com/products/57002003/cmapi011258.html", None, "随机获取一个图片笑话"
304, "笑话大全-查询笑话", None, "pagenum=1&pagesize=1&sort=rand", "pagenum=1&pagesize=1&sort=rand", "pagenum=1&pagesize=1&sort=rand", JSON, GET, None, "http://jisuxhdq.market.alicloudapi.com/xiaohua/all", "https://market.aliyun.com/products/57002003/cmapi011258.html", None, "随机获取一个笑话"
305, "脑筋急转弯", "keyword=keyword_2", "keyword=%E5%A5%B3%E4%BA%BA&pagenum=1&pagesize=2", "pagenum=1&pagesize=2", "keyword={}&pagenum=1&pagesize=2", JSON, GET, None, "http://jisujzw.market.alicloudapi.com/jzw/search", "https://market.aliyun.com/products/57002003/cmapi011261.html", None, "keyword_2(string{搜索脑筋急转弯的词，一般是名词}[女人/花生])"
306, "单位换算-0", "amount=amount&from=from_unit&to=to_unit", "amount=5&from=%E5%8D%83%E7%B1%B3&to=%E7%B1%B3", None, "amount={}&from={}&to={}", JSON, GET, None, "http://jisudanwei.market.alicloudapi.com/unitconvert/convert", "https://market.aliyun.com/products/57002003/cmapi011243.html", None, "amout({换算的数量}[10/1000]) from_unit(string{单位}) to_unit(string{单位})"
307, "单位换算-1", "amount=amount&unit=from_unit", "amount=1&unit=%E5%8D%83%E7%B1%B3", None, "amount={}&unit={}", JSON, GET, None, "http://jisudanwei.market.alicloudapi.com/unitconvert/convert", "https://market.aliyun.com/products/57002003/cmapi011243.html", None, "amout({换算的数量}[10/1000]) from_unit(enum{单位})"
308, "近义词反义词", "word=words", "word=%E5%A5%BD%E5%83%8F", None, "word={}", JSON, GET, None, "http://jisujycfyc.market.alicloudapi.com/jinyifanyi/word", "https://market.aliyun.com/products/57002003/cmapi011179.html", None, "words({词语}[好像/喜欢])"
309, "今日油价-省市油价查询接口", "province=province", "province=%E6%B2%B3%E5%8D%97", None, "province={}", JSON, GET, None, "http://jisuoil.market.alicloudapi.com/oil/query", "https://market.aliyun.com/products/57002003/cmapi011157.html", None, "province(string{省}[浙江/安徽])"
400, "公交地铁查询-线路查询", "cityid=city&transitno=bus_no", "cityid=113&transitno=86", None, "cityid={}&transitno={}", JSON, GET, None, "http://jisugjdt.market.alicloudapi.com/transit/line", "https://market.aliyun.com/products/57002002/cmapi011251.html", "9d90915e3079402b887c9b9ec31bd35c", "city(enum{城市代码}) bus_no(string{车次}[86/197])"
401, "公交地铁查询-站点查询", "cityid=city&station=bus_station", "cityid=113&station=%E8%A5%BF%E6%BA%AA%E7%AB%9E%E8%88%9F%E8%8B%91", None, "cityid={}&station={}", JSON, GET, None, "http://jisugjdt.market.alicloudapi.com/transit/station", "https://market.aliyun.com/products/57002002/cmapi011251.html", "9d90915e3079402b887c9b9ec31bd35c", "city(enum{城市代码}) bus_station(string{公交地铁车站}[上宁桥/西溪竞舟苑])"
402, "公交地铁查询-附近站点查询", "city=city&address=address1", "address=%E8%A5%BF%E6%BA%AA%E8%8A%B1%E5%9B%AD%E7%B4%AB%E8%8F%B1%E8%8B%91&city=%E6%9D%AD%E5%B7%9E", None, "city={}&address={}", JSON, GET, None, "http://jisugjdt.market.alicloudapi.com/transit/nearby", "https://market.aliyun.com/products/57002002/cmapi011251.html", "9d90915e3079402b887c9b9ec31bd35c", "city(string{城市}[杭州]) address1(string{搜索公交地址,市内}[西溪花园紫菱苑])"
500, "地理编码", "address=address", "address=%E6%96%B9%E6%81%92%E5%9B%BD%E9%99%85%E4%B8%AD%E5%BF%83A%E5%BA%A7&batch=false&callback=callback&city=%E5%8C%97%E4%BA%AC&output=JSON", "batch=false&output=JSON", "address={}&batch=false&output=JSON", JSON, GET, None, "http://geo.market.alicloudapi.com/v3/geocode/geo", "https://market.aliyun.com/products/57002002/cmapi020535.html", None, "address(string{地理编码地址}[方恒国际中心A座/北京市朝阳区阜通东大街6号])"
501, "火车查询-车次查询", "trainno=train_no", "trainno=G34", None, "trainno={}", JSON, GET, None, "http://jisutrain.market.alicloudapi.com/train/line", "https://market.aliyun.com/products/57002002/cmapi011240.html", None, "train_no(string{火车车次}[G34/D256/K1158])"
502, "火车查询-站站查询", "start=start_station&end=end_station", "end=%E5%8C%97%E4%BA%AC&ishigh=0&start=%E6%9D%AD%E5%B7%9E", "ishigh=1", "start={}&end={}&ishigh=1", JSON, GET, None, "http://jisutrain.market.alicloudapi.com/train/station2s", "https://market.aliyun.com/products/57002002/cmapi011240.html", None, "start_station(string{火车站}[杭州东/北京南]) end_station(string{火车站}[杭州东/北京南])"
503, "火车查询-余票查询", "date=date&start=start_station&end=end_station", "date=2015-10-20&end=%E5%8C%97%E4%BA%AC&start=%E6%9D%AD%E5%B7%9E", None, "date={}&start={}&end={}", JSON, GET, None, "http://jisutrain.market.alicloudapi.com/train/ticket", "https://market.aliyun.com/products/57002002/cmapi011240.html", None, "date(string{查询火车余票日期}[2015-10-20])"
600, "外汇牌价汇率查询转换-汇率转换", "money=money&fromCode=from_currency&toCode=to_currency", "fromCode=GBP&money=100&toCode=EUR", None, "money={}&fromCode={}&toCode={}", JSON, GET, None, "http(s)://ali-waihui.showapi.com/waihui-transform", "https://market.aliyun.com/products/57000002/cmapi010841.html", None, "money({钱的数量,用于汇率转换}[100,1]) from_currency(enum{货币代码}[CNY/USD]) to_currency(enum{货币代码}[CNY/USD])"
601, "外汇牌价汇率查询转换-十大银行实时汇率表", "bankCode=bank", "bankCode=ICBC", None, "bankCode={}", JSON, GET, None, "http(s)://ali-waihui.showapi.com/bank10", "https://market.aliyun.com/products/57000002/cmapi010841.html", None, "bank(enum{十大银行}[工商银行：ICBC/中国银行：BOC])"
602, "外汇牌价汇率查询转换-中国银行的实时汇率表", "code=to_currency", "code=code", None, "code={}", JSON, GET, None, "http(s)://ali-waihui.showapi.com/waihui-list", "https://market.aliyun.com/products/57000002/cmapi010841.html", None, "to_currency(enum{货币代码}[CNY/USD])"
603X, "彩票开奖查询-单期开奖查询", "code=lottery&expect=lottery_p", "code=ssq&expect=2015022", None, "code={}&expect={}", JSON, GET, None, "http(s)://ali-lottery.showapi.com/one", "https://market.aliyun.com/products/57000002/cmapi011039.html", None, "lottery(enum{彩票类型,比如双色球/体彩}[ssq]) lottery_p(string{第几期彩票,无则表示查询最新一期}[2015022])"
603, "彩票开奖查询-单期开奖查询", "caipiaoid=lottery&issueno=lottery_p", "caipiaoid=13&issueno=2016080", None, "caipiaoid={}&issueno={}", JSON, GET, None, "http://jisucpkj.market.alicloudapi.com/caipiao/class", "https://market.aliyun.com/products/57000002/cmapi011259.html", None, "lottery(enum{彩票类型,比如双色球/体彩}[13]) lottery_p(string{第几期彩票,无则表示查询最新一期}[2016080])"
700, "历史上的今天", "month=month&day=day", "date=1018", None, "date={}{}", JSON, GET, None, "http://hisd.market.alicloudapi.com/today", "https://market.aliyun.com/products/56928004/cmapi022183.html", None, "month({月份,2个字符}[02/10]) day({几号}[01/31])"

